ID,Nome,Cognome,Data Di Nascita,Codice Fiscale,Numero di telefono,Email
0,Alessandro,Rossi,25/11/1988,RSSLSN88A12H501X,(+39) 02 12345678,alessandro.rossi@example.it
1,Beatrice,Conti,12/05/1992,CNTBRC92M46H501W,(+39) 06 23456789,beatrice.conti@example.it
2,Carlo,Bianchi,11/03/1985,BNCCHR85C11H501Y,(+39) 02 34567890,carlo.bianchi@example.it
3,Davide,Marino,22/01/1990,MRNDVD90A22H501F,(+39) 06 45678901,davide.marino@example.it
4,Elena,Giordano,23/09/1993,GRDELN93P59H501H,(+39) 02 56789012,elena.giordano@example.it
5,Francesco,Lombardi,03/02/1987,LMBFNC87B03H501B,(+39) 06 67890123,francesco.lombardi@example.it
6,Giulia,Greco,08/12/1988,GRCGLI88H41H501J,(+39) 02 78901234,giulia.greco@example.it
7,Antonio,Gentile,11/01/1989,GNTNTN89A11H501M,(+39) 06 89012345,antonio.gentile@example.it
8,Bianca,Martini,01/04/1991,MRTBNC91A47H501Q,(+39) 02 90123456,bianca.martini@example.it
9,Carmine,Ricci,24/03/1992,RCCCMN92C24H501N,(+39) 06 01234567,carmine.ricci@example.it
10,Daria,Neri,14/06/1986,NRIDRA86M44H501S,(+39) 02 12345678,daria.neri@example.it
11,Enrico,Rizzo,27/04/1983,RZZNCR83D27H501G,(+39) 06 23456789,enrico.rizzo@example.it
12,Fabiana,Moretti,09/08/1984,MRTFBN84L59H501T,(+39) 02 34567890,fabiana.moretti@example.it
